date,weekdays,sleep_starts,sleep_ends,sleep_duration_min,light_sleep_min,rem_sleep_min,deep_sleep_min,readiness,sleep_score,activity_score,steps
12/26/19,Thursday,11:34:00 PM,10:06:00 AM,509,296,108,104,90,82,72,10348
12/27/19,Friday,10:09:00 PM,5:55:00 AM,379,245,57,77,82,69,72,6714
12/29/19,Sunday,11:34:00 PM,10:11:00 AM,491,272,117,101,93,81,73,8023
1/2/20,Thursday,11:29:00 PM,5:51:00 AM,323,211,49,63,72,64,69,6787
1/3/20,Friday,9:55:00 PM,5:52:00 AM,428,274,69,84,86,80,67,9139
1/4/20,Saturday,11:08:00 PM,6:34:00 AM,382,241,58,82,80,72,80,17652
1/5/20,Sunday,9:55:00 PM,9:17:00 AM,550,361,140,48,64,75,87,6336
1/6/20,Monday,11:07:00 PM,5:50:00 AM,341,219,52,69,76,69,80,6285
1/7/20,Tuesday,10:37:00 PM,6:00:00 AM,372,254,51,67,76,70,80,9050
1/8/20,Wednesday,11:25:00 PM,5:50:00 AM,315,224,40,50,67,60,76,6219
1/9/20,Thursday,11:14:00 PM,5:55:00 AM,349,178,73,97,68,72,79,8426
1/10/20,Friday,10:22:00 PM,6:07:00 AM,361,166,79,115,72,71,79,4841
1/13/20,Monday,10:28:00 PM,6:07:00 AM,413,236,70,107,70,78,83,10323
1/14/20,Tuesday,9:47:00 PM,5:59:00 AM,432,245,82,104,76,79,87,9702
1/15/20,Wednesday,11:06:00 PM,5:41:00 AM,334,206,39,88,63,70,94,7753
1/17/20,Friday,11:15:00 PM,7:14:00 AM,399,199,72,128,71,75,88,7559
1/18/20,Saturday,11:56:00 PM,9:14:00 AM,504,252,123,128,83,84,92,9696
1/19/20,Sunday,11:39:00 PM,6:26:00 AM,338,213,62,62,67,66,95,15527
1/20/20,Monday,11:25:00 PM,5:51:00 AM,341,218,39,84,63,68,92,13610
1/21/20,Tuesday,10:44:00 PM,6:01:00 AM,377,199,72,106,67,75,87,5968
1/22/20,Wednesday,10:02:00 PM,5:56:00 AM,413,222,80,111,74,77,85,5961
1/23/20,Thursday,9:59:00 PM,6:14:00 AM,425,284,68,72,74,75,82,6728
1/24/20,Friday,10:38:00 PM,7:00:00 AM,459,285,85,89,80,83,88,13653
1/25/20,Saturday,10:22:00 PM,8:14:00 AM,528,363,126,39,74,83,84,6324
1/26/20,Sunday,11:48:00 PM,9:53:00 AM,521,323,102,96,87,81,80,8511
1/27/20,Monday,10:35:00 PM,6:04:00 AM,393,206,60,127,83,75,78,11962
1/28/20,Tuesday,10:26:00 PM,5:41:00 AM,391,209,69,113,79,77,79,5800
1/29/20,Wednesday,10:38:00 PM,5:57:00 AM,385,212,83,90,79,78,78,7591
1/30/20,Thursday,10:35:00 PM,6:21:00 AM,409,194,84,131,77,78,79,4635
